t,dt,lambda,survival_t,dPD,df,epe,cva_contrib
0.08333333333333333,0.08333333333333333,0.02,0.9983347214509387,0.0016652785490612887,0.9975031223974601,527.1256768812216,0.35024771821555206
0.16666666666666666,0.08333333333333333,0.02,0.9966722160545233,0.0016625053964154368,0.9950124791926823,531.6849720862828,0.3518082081328002
0.25,0.08333333333333334,0.02,0.9950124791926823,0.0016597368618409547,0.9925280548191384,542.6409569864787,0.3575646629552582
0.3333333333333333,0.08333333333333331,0.02,0.9933555062550344,0.0016569729376478826,0.9900498337491681,553.0863881435004,0.3629321422641078
0.41666666666666663,0.08333333333333331,0.02,0.991701292638876,0.001654213616158473,0.9875778004938814,563.7078729762131,0.3683638487839427
0.5,0.08333333333333337,0.02,0.9900498337491681,0.0016514588897078575,0.9851119396030626,579.422316976712,0.3770583473392911
0.5833333333333333,0.08333333333333326,0.02,0.9884011249985238,0.0016487087506442677,0.9826522356650732,589.9226366686102,0.38229519742794776
0.6666666666666666,0.08333333333333337,0.02,0.9867551618071957,0.001645963191328148,0.9801986733067553,599.1875632684041,0.3866847200241999
0.75,0.08333333333333337,0.02,0.9851119396030626,0.0016432222041330435,0.9777512371933363,613.1772277302323,0.3940675536242062
0.8333333333333333,0.08333333333333326,0.02,0.9834714538216175,0.0016404857814451557,0.9753099120283326,623.7527671947671,0.3991972907594338
0.9166666666666666,0.08333333333333337,0.02,0.9818336999059541,0.0016377539156633425,0.972874682553454,632.3337557274532,0.4030063654132719
1.0,0.08333333333333337,0.02,0.9801986733067553,0.0016350265991988966,0.9704455335485082,642.3374089133816,0.4076798013414352
1.0833333333333333,0.08333333333333326,0.0215,0.9784440563308251,0.0017546169759301566,0.968022449831306,651.0046742799714,0.44229482129579045
1.1666666666666665,0.08333333333333326,0.0215,0.9766925802291035,0.0017514761017215497,0.9656054162575665,663.2824568608436,0.44870655203326115
1.25,0.08333333333333348,0.0215,0.974944239379229,0.001748340849874519,0.9631944177208218,673.4863649391831,0.45365829983329325
1.3333333333333333,0.08333333333333326,0.0215,0.9731990281689045,0.0017452112103245598,0.9607894391523232,680.68375518629,0.4565428989371118
1.4166666666666665,0.08333333333333326,0.0215,0.9714569409958794,0.001742087173025042,0.958390465520947,693.002539849485,0.46281474323535
1.5,0.08333333333333348,0.0215,0.9697179722679314,0.001738968727947987,0.9559974818331,701.9289344989068,0.4667686256241665
1.5833333333333333,0.08333333333333326,0.0215,0.9679821164028487,0.001735855865082736,0.9536104731326264,713.5996294072129,0.47249724481063954
1.6666666666666665,0.08333333333333326,0.0215,0.9662493678284118,0.0017327485744369486,0.951229424500714,724.4294194289075,0.477613832672763
1.75,0.08333333333333348,0.0215,0.9645197209823759,0.001729646846035826,0.9488543210558013,731.6673705193673,0.4803199860413062
1.8333333333333333,0.08333333333333326,0.0215,0.9627931703124533,0.0017265506699226663,0.9464851479534839,744.0816755225036,0.486377787093453
1.9166666666666665,0.08333333333333326,0.0215,0.9610697102762947,0.0017234600361585306,0.9441218903864221,754.2641185726078,0.4909222592435306
2.0,0.08333333333333348,0.0215,0.9593493353414724,0.0017203749348223552,0.9417645335842487,762.3745869884486,0.49407609284785325
2.083333333333333,0.08333333333333304,0.0215,0.9576320399854618,0.0017172953560106174,0.9394130628134758,772.396965193442,0.4984276659069939
2.1666666666666665,0.08333333333333348,0.0215,0.955917818695624,0.0017142212898377807,0.9370674633774034,783.0195578236334,0.5031185664780178
2.25,0.08333333333333348,0.0215,0.9542066659691884,0.0017111527264356274,0.9347277206160275,792.4773043965291,0.5070148980703356
2.333333333333333,0.08333333333333304,0.0215,0.9524985763132342,0.001708089655954148,0.9323938199059483,803.5773066787898,0.5119148214580164
2.4166666666666665,0.08333333333333348,0.0215,0.9507935442446737,0.0017050320685605413,0.9300657466602785,812.774449491922,0.5155564631909069
2.5,0.08333333333333348,0.0215,0.9490915642902339,0.0017019799544397696,0.9277434863285529,820.3926784734655,0.5181602836946947
2.583333333333333,0.08333333333333304,0.0215,0.9473926309864397,0.0016989333037942256,0.9254270243966369,834.1408650685963,0.5245874504141863
2.6666666666666665,0.08333333333333348,0.0215,0.9456967388795956,0.0016958921068440658,0.9231163463866358,846.360881105702,0.52999312209621
2.75,0.08333333333333348,0.0215,0.9440038825257688,0.001692856353826766,0.9208114378568045,853.6210083115166,0.532250280970994
2.833333333333333,0.08333333333333304,0.0215,0.9423140564907714,0.0016898260349974548,0.9185122844014574,865.8240766250633,0.5375472144826681
2.9166666666666665,0.08333333333333348,0.0215,0.9406272553501429,0.0016868011406284689,0.9162188716508777,876.3427638673056,0.5417477485819465
3.0,0.08333333333333348,0.0215,0.9389434736891332,0.0016837816610096867,0.9139311852712282,886.5117010872858,0.5456871603695744
3.083333333333333,0.08333333333333304,0.022,0.9372236543035153,0.0017198193856179378,0.9116492109644617,895.1070131784184,0.561365284138018
3.1666666666666665,0.08333333333333348,0.022,0.9355069850316178,0.0017166692718975085,0.9093729344682314,901.75973785022,0.5630921718624479
3.25,0.08333333333333348,0.022,0.9337934601035228,0.001713524928094956,0.9071023415558017,914.1333326620713,0.5683505065577641
3.333333333333333,0.08333333333333304,0.022,0.9320830737598812,0.0017103863436416233,0.9048374180359596,925.1275359267707,0.5726989292592536
3.4166666666666665,0.08333333333333348,0.022,0.9303758202518928,0.0017072535079883933,0.9025781497529256,932.1841949514857,0.574572129371927
3.5,0.08333333333333348,0.022,0.9286716938412872,0.0017041264106055776,0.9003245225862656,941.8084167490862,0.577994153202067
