Scenario,CVA,Change_EUR,Change_percent
Baseline,495406.2898210375,0.0,0.0
Volatility 30%,826397.2741396084,330990.9843185709,66.81202704110586
Correlation 40%,465524.19548760797,-29882.09433342953,-6.031835878431066
